title,recipe_link,img_link,ingredients,yield,nutrients,region,subregion,meal_type,total_calories,total_protein,total_fat,total_carb
Crispy Roasted Chicken,https://www.allrecipes.com/recipe/228363/crispy-roasted-chicken/,https://www.allrecipes.com/thmb/8hPikquK0V2-_htLPpRIjIxjGi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1000798-4e3d039417144434840824b5d5f5708c.jpg,"['1 teaspoon kosher salt', '0.5 teaspoon caraway seeds', '0.5 teaspoon dried sage', '0.25 teaspoon fennel seeds', '0.25 teaspoon coriander seeds', '0.25 teaspoon dried rosemary', '2 tablespoons paprika', '2 teaspoons garlic powder', '2 teaspoons all-purpose flour', '1 teaspoon onion powder', '5 tablespoons vegetable oil', '1 (4 pound) broiler-fryer chicken, cut in half lengthwise']",6 servings,"{'calories': '495 kcal', 'carbohydrateContent': '3 g', 'cholesterolContent': '129 mg', 'fiberContent': '1 g', 'proteinContent': '42 g', 'saturatedFatContent': '8 g', 'sodiumContent': '446 mg', 'sugarContent': '1 g', 'fatContent': '35 g', 'unsaturatedFatContent': '0 g'}",european,german,"na,na",4686.82,438.88,307.3,20.18
Crispy Rosemary Chicken and Fries,https://www.allrecipes.com/recipe/77489/crispy-rosemary-chicken-and-fries/,https://www.allrecipes.com/thmb/g0TMTau5FKlmQj4UrkBbGrssJ4w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/483274-85387faa86c2402bbd2be54d109bd077.jpg,"['8 chicken thighs', '6 small red potatoes, quartered', '0.5 cup extra-virgin olive oil, or as needed', '1 tablespoon chopped fresh rosemary', '1.5 teaspoons chopped fresh oregano', '1.5 teaspoons garlic powder', 'salt and pepper to taste']",6 servings,"{'calories': '497 kcal', 'carbohydrateContent': '28 g', 'cholesterolContent': '78 mg', 'fiberContent': '3 g', 'proteinContent': '24 g', 'saturatedFatContent': '6 g', 'sodiumContent': '107 mg', 'sugarContent': '2 g', 'fatContent': '32 g', 'unsaturatedFatContent': '0 g'}",usa,jewish,main,3937.38,264.08,253.03,167.46
Crispy Sesame Feta Fingers with Honey,https://www.allrecipes.com/recipe/278766/crispy-sesame-feta-fingers-with-honey/,https://www.allrecipes.com/thmb/GyOrJaTj97axhwfdxSuRMbtaoPs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Crispy_sesame_feta_fingers_SQUARE-76b5006445e74472998147c86467dcf0.jpg,"['1 (8 ounce) slice feta cheese', '0.5 cup all-purpose flour', '1 egg, beaten', '0.5 cup sesame seeds', '1 pinch ground black pepper to taste', '0.25 cup olive oil', '2 tablespoons honey, or more to taste']",4 servings,"{'calories': '480 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '97 mg', 'fiberContent': '3 g', 'proteinContent': '15 g', 'saturatedFatContent': '12 g', 'sodiumContent': '654 mg', 'sugarContent': '11 g', 'fatContent': '36 g', 'unsaturatedFatContent': '0 g'}",european,greek,appetizer,1865.29,55.96,138.35,108.64
Crispy Shrimp Tempura,https://www.allrecipes.com/recipe/129467/crispy-shrimp-tempura/,https://www.allrecipes.com/thmb/M6XhJ1tWTuurbqtbejw03-IFgzY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/418857-327c0e7fc28a45cf92ba34820619eed5.jpg,"['2 cups vegetable oil for frying', '1 cup all-purpose flour', '2 tablespoons cornstarch', '1 pinch salt', '1 cup water', '1 large egg yolk', '2 large egg whites, lightly beaten', '1 pound medium shrimp, peeled and deveined, tails left on']",4 servings,"{'calories': '1222 kcal', 'carbohydrateContent': '29 g', 'cholesterolContent': '173 mg', 'fiberContent': '1 g', 'proteinContent': '26 g', 'saturatedFatContent': '15 g', 'sodiumContent': '210 mg', 'fatContent': '112 g', 'unsaturatedFatContent': '0 g'}",asian,japanese,"na,main",5070.53,132.45,454.33,118.33
Crispy Sweet and Sour Chicken,https://www.allrecipes.com/recipe/282323/crispy-sweet-and-sour-chicken/,https://www.allrecipes.com/thmb/Dn189knVXRqjGFoYH1o6eTyVWVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/368238-aad2cc6be7694fa68fca902aac4720d8.jpg,"['3 large egg yolks', '1 tablespoon soy sauce', '1 tablespoon cornstarch', '1 teaspoon salt', 'ground black pepper to taste', '3 pounds skinless, boneless chicken breast, cut into bite-sized pieces', '3 large egg whites', '1 cup water', '1 cup cornstarch', '1 cup all-purpose flour', '1 cup hot water', '0.25 cup white sugar', '3 tablespoons sweet rice wine', '2 tablespoons vinegar', '1 tablespoon cornstarch', '1 tablespoon soy sauce', '1 teaspoon chicken bouillon granules', '0.25 teaspoon salt', '1 tablespoon vegetable oil, or as needed', '1 medium bell pepper, chopped', '2 cloves garlic, minced', '1 (8 ounce) can pineapple chunks, drained', '2 tablespoons sesame oil', '1 teaspoon sesame seeds']",8 servings,"{'calories': '442 kcal', 'carbohydrateContent': '41 g', 'cholesterolContent': '174 mg', 'fiberContent': '1 g', 'proteinContent': '40 g', 'saturatedFatContent': '3 g', 'sodiumContent': '748 mg', 'sugarContent': '11 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",asian,chinese,main,4474.7,468.73,111.82,338.73
Crispy Thin Fried Green Tomatoes,https://www.allrecipes.com/recipe/233898/crispy-thin-fried-green-tomatoes/,https://www.allrecipes.com/thmb/DTZqLA6IfuuTWAZ4TdiY4jfNfqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3404193-d64602c0e2574d48ba3fadaaba8f5067.jpg,"['2 cups oil for frying', '0.66666668653488 cup all-purpose flour', '0.33333334326744 cup finely crushed cornflakes cereal', '1.5 teaspoons baking powder', '1 teaspoon salt', '0.5 teaspoon ground black pepper', '0.5 teaspoon white sugar', '0.75 cup milk', '16 slices 1/8-inch thick green tomato slices']",4 servings,"{'calories': '226 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '4 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '2 g', 'sodiumContent': '811 mg', 'sugarContent': '6 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,southern,side,4477.61,19.33,453.15,101.44
Crispy Vegetable Pakoras,https://www.allrecipes.com/recipe/23595/crispy-vegetable-pakoras/,https://www.allrecipes.com/thmb/_H0pBHw1mnsRI4BCFElcNmEI0Ys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1055227-d1163a06f20f4ce9b37f4e4d57b77850.jpg,"['1 cup chickpea flour', '2 cloves garlic, crushed', '1 teaspoon salt', '0.5 teaspoon ground coriander', '0.5 teaspoon ground turmeric', '0.5 teaspoon chili powder', '0.5 teaspoon garam masala', '0.75 cup water', '1 quart oil for deep frying', '0.5 head cauliflower florets', '2 medium onions, sliced into rings']",6 servings,"{'calories': '217 kcal', 'carbohydrateContent': '16 g', 'fiberContent': '3 g', 'proteinContent': '5 g', 'saturatedFatContent': '2 g', 'sodiumContent': '406 mg', 'sugarContent': '4 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",asian,indian,"na,appetizer",8447.98,29.28,904.35,88.69
Crispy Whitefish Marinated,https://www.allrecipes.com/recipe/70711/crispy-whitefish-marinated/,https://www.allrecipes.com/thmb/Zr1pQpHCTKCraB3Tlu-8l6k0zB0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4496842-f54e3f0e3731412ea149dbd9f79de213.jpg,"['0.5 cup teriyaki sauce', '1 cup stir-fry sauce', '8 (6 ounce) fillets whitefish', '2 cups dry potato flakes', '0.5 cup all-purpose flour', '2 tablespoons seasoning salt', '2 tablespoons ancho chile seasoning', '1 tablespoon garlic powder', '1 tablespoon salt', '1 tablespoon ground black pepper', '1 quart oil for frying']",8 servings,"{'calories': '475 kcal', 'carbohydrateContent': '26 g', 'cholesterolContent': '103 mg', 'fiberContent': '2 g', 'proteinContent': '36 g', 'saturatedFatContent': '3 g', 'sodiumContent': '2624 mg', 'sugarContent': '8 g', 'fatContent': '24 g', 'unsaturatedFatContent': '0 g'}",usa,state_wi,"na,na",11168.02,365.94,1001.75,188.87
Crispy Zucchini or Pumpkin Blossoms,https://www.allrecipes.com/recipe/53943/crispy-zucchini-or-pumpkin-blossoms/,https://www.allrecipes.com/thmb/i9zPoIqDgFtG3eJEVBYJxGIb_Gc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8743785-crispy-zucchini-or-pumpkin-blossoms-tracilou-4x3-1-1f4a6b6639e945d9a721bd6d4433be31.jpg,"['0.66666668653488 cup all-purpose flour', '1 teaspoon baking powder', '3 leaves fresh basil, minced', '2 tablespoons finely grated Parmesan cheese', '2 tablespoons cold water', '2 eggs, beaten', '3 cups oil for frying', '12 pumpkin or zucchini blossoms']",6 servings,"{'calories': '180 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '64 mg', 'fiberContent': '0 g', 'proteinContent': '4 g', 'saturatedFatContent': '2 g', 'sodiumContent': '109 mg', 'sugarContent': '0 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",european,italian,side,7056.37,47.91,688.25,216.94
Crispy and Creamy Doughnuts,https://www.allrecipes.com/recipe/45921/crispy-and-creamy-doughnuts/,https://www.allrecipes.com/thmb/JsShEcFp9aZScKXBIBYWes2r1Og=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/45921-crispy-and-creamy-doughnuts-ddmfs-642-1x1-1-bcfc30ddf1d64a50ac60feefe21cf876.jpg,"['2 (.25 ounce) envelopes active dry yeast', '0.25 cup warm water (105 to 115 degrees)', '1.5 cups lukewarm milk', '0.5 cup white sugar', '1 teaspoon salt', '2 eggs', '0.33333334326744 cup shortening', '5 cups all-purpose flour', '1 quart vegetable oil for frying', '0.33333334326744 cup butter', ""2 cups confectioners' sugar"", '1.5 teaspoons vanilla', '4 tablespoons hot water or as needed']",18 servings,"{'calories': '331 kcal', 'carbohydrateContent': '47 g', 'cholesterolContent': '31 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '4 g', 'sodiumContent': '171 mg', 'sugarContent': '20 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",usa,jewish,"na,bread,bread,na,dessert",33757.78,1492.53,1851.08,2844.59
